passenger_id,driver_id,weight
P0,D42,0.18212364561675976
P0,D39,0.45924756002668987
P0,D29,0.2052426577335531
P0,D84,0.8382439691378764
P0,D81,0.6323333027944628
P0,D30,0.7217174886719835
P0,D53,0.3056373792546132
P0,D89,0.6354302416937392
P0,D74,0.9950563727309609
P0,D26,0.5136158107511667
P0,D9,0.7390754109420876
P0,D85,0.47384133246219823
P0,D64,0.5545642419631642
P0,D32,0.6109822033267567
P0,D11,0.03104403008008333
P0,D47,0.47026838327335974
P0,D75,0.2492590479988791
P0,D45,0.6766970488168529
P0,D49,0.29189280930749906
P0,D13,0.41373067600074465
P0,D36,0.5643466357254647
P0,D59,0.5286801710298271
P0,D25,0.731835932325964
P0,D83,0.45531346484552854
P0,D79,0.40770744350514754
P0,D88,0.7303266880033071
P0,D15,0.21121493430188104
P0,D46,0.3386804632428689
P0,D8,0.5106789805673813
P0,D38,0.5362202743054917
P0,D44,0.1709162192158819
P0,D72,0.621072819945735
P0,D57,0.7892202493651966
P0,D34,0.5766197270487128
P0,D27,0.3857068145190762
P0,D2,0.2901401991338076
P0,D37,0.3381237766444033
P0,D54,0.37497887028024457
P0,D77,0.6625227850180384
P0,D12,0.2051923624231059
P1,D14,0.7919576493697866
P1,D30,0.6082521974206727
P1,D53,0.4931378722147526
P1,D37,0.43287810865273096
P1,D9,0.4812328225954512
P1,D3,0.41379035201686176
P1,D64,0.5933541242974827
P1,D61,0.19152269875054095
P1,D39,0.49940972334670386
P1,D52,0.5423210156779262
P1,D46,0.1943711699815066
P1,D55,0.7087436450163715
P1,D73,0.22672881178833715
P1,D56,0.2327538315226732
P1,D2,0.43964780071565374
P1,D82,0.6220594746206289
P1,D17,0.3917404124580869
P1,D62,0.29980403286571883
P1,D78,0.4255270195120202
P1,D35,0.19781218062229028
P1,D8,0.3686662077786898
P1,D38,0.514863670251612
P1,D1,0.22122098174313898
P1,D51,0.5598899586416934
P1,D60,0.44071474356772355
P1,D81,0.5237464355928758
P1,D25,0.35639435527476127
P1,D47,0.5300728408198648
P1,D76,0.4918902445421554
P1,D24,0.25961442614640784
P1,D20,0.4528842267074893
P1,D12,0.32889344758402916
P1,D87,0.18823471010721055
P1,D41,0.3269016287045329
P1,D18,0.42801885258677724
P1,D11,0.32501373028909497
P1,D79,0.5096672948647951
P1,D44,0.17464942822386265
P1,D48,0.3858074148540908
P1,D72,0.6794100241690622
P2,D60,0.6799666299069788
P2,D41,0.532436978218054
P2,D78,0.41680086353684637
P2,D51,0.399564734794161
P2,D70,0.51362830418204
P2,D84,0.6810732831424378
P2,D66,0.5683985763655302
P2,D15,0.46436799128060674
P2,D4,0.7897293908275957
P2,D54,0.4345165923967572
P2,D48,0.7927141068996157
P2,D1,0.6158828075441888
P2,D68,0.5997439588608017
P2,D76,0.5359739177939536
P2,D49,0.6099538975261618
P2,D16,0.434590608170697
P2,D65,0.577745768410608
P2,D22,0.5130860387061904
P2,D62,0.322966221615464
P2,D89,0.6095695937330577
P2,D3,0.4134656922286972
P2,D30,0.4773222553406199
P2,D6,0.29918188247591454
P2,D25,0.6033721519649113
P2,D40,0.30957410015645437
P2,D27,0.7724819116065944
P2,D55,0.7773585029487464
P2,D24,0.4900566396528418
P2,D39,0.4226358746328739
P2,D85,0.5068619637193994
P2,D79,0.5312820586154803
P2,D2,0.33576775674006987
P2,D80,0.7657461187521052
P2,D18,0.3589642274914908
P2,D64,0.5010233583612232
P2,D72,0.4649559588684652
P2,D75,0.5842840519794853
P2,D53,0.32607047700691627
P2,D71,0.41500810108062514
P2,D37,0.2950679092962404
P3,D43,0.5224978167188552
P3,D56,0.33007316825089844
P3,D76,0.29401877385185393
P3,D9,0.4658316963638428
P3,D82,0.6197810618162495
P3,D36,0.39514583351977617
P3,D48,0.3873115109859992
P3,D59,0.2926144314340955
P3,D88,0.6287004895013881
P3,D16,0.14233106704115506
P3,D60,0.34127852890790145
P3,D7,0.6443866880350537
P3,D64,0.5272715461451619
P3,D37,0.2555359290847199
P3,D74,0.633073695607681
P3,D30,0.707222066945193
P3,D19,0.7840440435742768
P3,D81,0.30464523274099103
P3,D34,0.4781422825996607
P3,D40,0.013139166915659473
P3,D20,0.5080495981816451
P3,D89,0.40038730829763103
P3,D84,0.7842590994939784
P3,D61,0.1437010171528295
P3,D47,0.466870851423001
P3,D22,0.15021734083268296
P3,D77,0.46280433963664624
P3,D42,0.26059539399027104
P3,D23,0.5703858084220235
P3,D3,0.46275901955416054
P3,D83,0.1330343987838018
P3,D57,0.7561472755180607
P3,D26,0.4241198655820659
P3,D68,0.36975723452261045
P3,D8,0.22714097121417415
P3,D0,0.25868054803926166
P3,D39,0.4524115134077721
P3,D14,0.5790203657319073
P3,D50,0.5639089992363627
P3,D52,0.30675824601821766
P4,D84,0.6057521460091462
P4,D25,0.4401937285777431
P4,D50,0.7430825281086145
P4,D59,0.4158481787197329
P4,D58,0.25481803302116934
P4,D33,0.5339562799668586
P4,D29,0.40523321027505677
P4,D28,0.44519526931053166
P4,D79,0.5396769418747733
P4,D69,0.5302006383692418
P4,D39,0.421389094781654
P4,D44,0.14934835355734133
P4,D22,0.14749608667744507
P4,D30,0.7091193855230141
P4,D12,0.2939228071179024
P4,D37,0.361889971698531
P4,D1,0.25446012553658587
P4,D32,0.3425546632794063
P4,D62,0.30200603600387316
P4,D47,0.44045196918103136
P4,D11,0.13632414690487343
P4,D0,0.28965394498787517
P4,D75,0.13748170734220583
P4,D70,0.4411882685997169
P4,D80,0.34154633654387817
